the_geom,split,geo_id,ClstrFinal,CSPall1416,CSPLB1416,CSPnLB1416,MSPall1416,MSPnLB1416,VSPall1416,VSPnLB1416,PPerm1k141,PNCnst1216,PSdist1416,PBankParcl,PMViol1415,CDemoHH141,CDngB1416,CVacPropRe,PVacAny141,PHUOO,PRHU_SF,HHdense,PHHsubNE,InvstBuyer,Invst2Invs,ESRI_OID
"MULTIPOLYGON (((-94.51432999999997 39.105030000000056, -94.51314299999996 39.10499000000004, -94.51302099999998 39.10498600000005, -94.51120899999995 39.104926000000034, -94.51128799999998 39.10313800000006, -94.51234499999998 39.102505000000065, -94.51285799999994 39.10219700000005, -94.51445399999994 39.10128700000007, -94.51469699999996 39.10114900000008, -94.51493099999999 39.101042000000064, -94.51517999999999 39.10095800000005, -94.51540299999994 39.100906000000066, -94.51560199999994 39.10088600000006, -94.51586599999996 39.10088500000006, -94.51612799999998 39.10090900000006, -94.51630199999994 39.100945000000024, -94.51667199999997 39.10102900000004, -94.51843799999995 39.10143800000003, -94.51863799999995 39.101436000000035, -94.51869499999998 39.10144900000006, -94.51898299999999 39.10145800000004, -94.52131099999997 39.101559000000066, -94.52363499999996 39.101631000000054, -94.52596999999997 39.10170700000003, -94.52819199999999 39.10178500000006, -94.52812899999998 39.102701000000025, -94.52811799999995 39.10289800000004, -94.52808099999999 39.103649000000075, -94.52805799999999 39.104119000000026, -94.52803599999999 39.10457900000006, -94.52798999999999 39.10552900000005, -94.52724299999994 39.10550000000006, -94.52613499999995 39.10546300000004, -94.52574499999997 39.10544300000004, -94.52491399999997 39.10542200000003, -94.52377399999995 39.10538800000006, -94.52337199999994 39.105376000000035, -94.52261499999997 39.105346000000054, -94.52141499999999 39.10529800000006, -94.52108199999998 39.10528400000004, -94.52025499999996 39.10525100000007, -94.51910699999996 39.10520800000006, -94.51873999999998 39.10519400000004, -94.51793899999996 39.105165000000056, -94.51698699999997 39.105129000000034, -94.51677499999994 39.105121000000054, -94.51558499999999 39.10507700000005, -94.51449099999996 39.10503600000004, -94.51432999999997 39.105030000000056)))",0,290950019001,I,10,1,9,6250,6250,1.36047106,1.26888215,0.03255814,0,0.4,0.02790698,0.14651163,0,1,1,0.08980583,0.63888889,0.83076923,7.61590295,0.01630592,0.3,0.5,1
"MULTIPOLYGON (((-94.50094499999994 39.09451800000005, -94.50098399999996 39.093687000000045, -94.50099399999999 39.09358400000008, -94.50103999999999 39.09315600000008, -94.50111899999996 39.09242300000005, -94.50118599999996 39.09121700000003, -94.50125399999996 39.089991000000055, -94.50237799999996 39.09002200000003, -94.50354299999998 39.09005900000005, -94.50462599999997 39.090093000000024, -94.50576999999998 39.09012800000005, -94.50700199999994 39.090163000000075, -94.50804899999997 39.090189000000066, -94.51030699999995 39.09023300000007, -94.51026399999995 39.09114100000005, -94.51021899999995 39.092047000000036, -94.51018599999998 39.092914000000064, -94.51015399999994 39.09382700000003, -94.51015199999995 39.093900000000076, -94.51012499999996 39.09479300000004, -94.51009199999999 39.09566900000004, -94.51004899999998 39.096584000000064, -94.50999299999995 39.097492000000045, -94.50769899999995 39.09743700000007, -94.50656999999995 39.097410000000025, -94.50540599999994 39.097376000000054, -94.50423299999994 39.097342000000026, -94.50334699999996 39.09731700000003, -94.50313499999999 39.09731100000005, -94.50082399999997 39.09724700000004, -94.50086199999998 39.09636300000005, -94.50090199999994 39.09543700000006, -94.50094499999994 39.09451800000005)))",0,290950021003,I,37,3,34,6250,6250,1.24937627,1.18488614,0.01085482,0,0.40540541,0.07734057,0.14382632,4,18,8,0.13063063,0.48387097,1,4.39452068,0.07114263,0.210526315789474,0.447368421052632,2
"MULTIPOLYGON (((-94.51470999999998 39.094911000000025, -94.51474899999994 39.09403100000003, -94.51475199999999 39.09394000000003, -94.51478199999997 39.09302700000006, -94.51479199999994 39.09272600000003, -94.51481499999994 39.092152000000056, -94.51485499999995 39.09158200000007, -94.51487799999995 39.091260000000034, -94.51494299999996 39.090332000000046, -94.51544899999999 39.09035400000005, -94.51662499999998 39.09038600000008, -94.51707099999999 39.09040200000004, -94.51717599999995 39.09040600000003, -94.51952599999998 39.09050400000007, -94.52056999999996 39.09054400000008, -94.52059399999996 39.09054500000008, -94.52081499999997 39.090681000000075, -94.52107899999999 39.09078900000003, -94.52260499999994 39.091143000000045, -94.52282399999996 39.09123600000004, -94.52303799999999 39.09135500000008, -94.52323199999995 39.09149200000007, -94.52346799999998 39.09192000000007, -94.52349199999998 39.09202000000005, -94.52346999999997 39.09233400000005, -94.52338199999997 39.09412200000003, -94.52337799999998 39.09420400000005, -94.52315099999998 39.097897000000046, -94.52205799999996 39.097856000000036, -94.52100499999995 39.097815000000026, -94.52010999999999 39.097781000000055, -94.51917199999997 39.097744000000034, -94.51801399999994 39.097705000000076, -94.51687899999996 39.09766600000006, -94.51570799999996 39.097627000000045, -94.51459099999994 39.09759800000006, -94.51466799999997 39.09577600000006, -94.51470999999998 39.094911000000025)))",0,290950022001,I,15,5,10,3900,9000,1.39625871,1.15161204,0.00972763,0,0.8,0.06809339,0.12840467,2,3,6,0.11373391,0.40807175,0.56818182,6.01110352,0.34494114,0.333333333333333,0.066666666666667,3
"MULTIPOLYGON (((-94.56682999999998 39.070348000000024, -94.56673299999994 39.070344000000034, -94.56677299999996 39.06965900000006, -94.56680499999999 39.06852800000007, -94.56685699999997 39.06758600000006, -94.56690599999996 39.066715000000045, -94.56700299999994 39.064910000000054, -94.56709799999999 39.06309700000003, -94.56823599999996 39.06313200000005, -94.56837699999994 39.06313600000004, -94.56937999999997 39.06316700000008, -94.56949599999996 39.06317000000007, -94.57051999999999 39.06320400000004, -94.57058599999999 39.063207000000034, -94.57172299999996 39.06324600000005, -94.57164099999994 39.06484100000006, -94.57163199999997 39.06502400000005, -94.57153099999994 39.066872000000046, -94.57146899999998 39.06788100000006, -94.57141999999999 39.068670000000054, -94.57131299999998 39.07050200000003, -94.57000899999997 39.07045700000003, -94.56868299999996 39.070411000000036, -94.56682999999998 39.070348000000024)))",0,290950052002,F,15,0,15,95631,95631,0.54810608,0.54810608,0.02040816,0,0.06666667,0.01530612,0.16836735,3,4,1,0.09243697,0.12698413,0.50909091,7.04459678,1,0.066666666666667,0.8,4
"MULTIPOLYGON (((-94.56624599999998 39.055874000000074, -94.56634499999996 39.055877000000066, -94.56748599999997 39.05591500000003, -94.56742199999997 39.057089000000076, -94.56739099999999 39.05769800000007, -94.56729699999994 39.059498000000076, -94.56719599999997 39.06130200000007, -94.56709799999999 39.06309700000003, -94.56588299999999 39.06305800000007, -94.56477599999994 39.06302100000005, -94.56356799999998 39.062978000000044, -94.56245699999994 39.06293700000003, -94.56255099999998 39.06112600000006, -94.56264299999998 39.05934600000006, -94.56273999999996 39.05777800000004, -94.56279499999994 39.05691400000006, -94.56286499999999 39.05574900000005, -94.56398899999994 39.055787000000066, -94.56514999999996 39.05583000000007, -94.56624599999998 39.055874000000074)))",0,290950053001,G,31,6,25,15625,27500,1.10573234,0.91698373,0.03764706,0.00235294,0.38709677,0.08705882,0.2,1,5,3,0.2172524,0.44334975,0.7699115,4.15175179,0.09307447,0.096774193548387,0.387096774193548,5
"MULTIPOLYGON (((-94.56049099999996 39.070129000000065, -94.56016699999998 39.07011700000004, -94.56008299999996 39.070114000000046, -94.55958799999996 39.07009700000003, -94.55861499999997 39.07006300000006, -94.55746199999999 39.07002300000005, -94.55630099999996 39.069983000000036, -94.55514899999997 39.06994400000008, -94.55401199999994 39.06990600000006, -94.55284499999999 39.06986600000005, -94.55293199999994 39.06805300000008, -94.55301299999996 39.06623600000006, -94.55310699999995 39.06444000000005, -94.55320299999994 39.06262700000008, -94.55434399999996 39.06266700000003, -94.55436799999995 39.06266800000003, -94.55550099999994 39.06270100000006, -94.55666499999995 39.06273500000003, -94.55783499999995 39.06277200000005, -94.55896899999999 39.06281300000006, -94.56013399999995 39.06285400000007, -94.56055199999997 39.062869000000035, -94.56087999999994 39.062880000000064, -94.56128699999994 39.062895000000026, -94.56245699999994 39.06293700000003, -94.56236799999994 39.06474700000007, -94.56227999999999 39.06655800000004, -94.56218799999999 39.068373000000065, -94.56209099999995 39.07018500000004, -94.56095399999998 39.070145000000025, -94.56049099999996 39.070129000000065)))",0,290950054001,H,32,5,27,7500,18462,1.70694021,1.54669663,0.02592593,0,0.40625,0.10925926,0.17962963,8,11,6,0.23243243,0.4985755,0.23863636,4.93668917,0.67806268,0.181818181818182,0.606060606060606,6
"MULTIPOLYGON (((-94.52447899999999 39.055071000000055, -94.52486599999997 39.05506500000007, -94.52519999999998 39.05507800000004, -94.52548599999994 39.055105000000026, -94.52602999999999 39.05518100000006, -94.52622099999996 39.05522600000006, -94.52663299999995 39.05535000000003, -94.52702499999998 39.05550100000005, -94.52711099999999 39.055544000000054, -94.52741099999997 39.055615000000046, -94.52757799999995 39.05563200000006, -94.52781199999998 39.05561800000004, -94.52821299999994 39.05547300000006, -94.52952799999997 39.054827000000046, -94.52969099999996 39.05476100000004, -94.52988599999998 39.05470900000006, -94.53006699999997 39.054684000000066, -94.53052499999995 39.05468700000006, -94.53174799999994 39.05472700000007, -94.53287399999994 39.05476300000004, -94.53399499999995 39.05479600000007, -94.53516999999994 39.054831000000036, -94.53496099999995 39.058460000000025, -94.53487799999999 39.06025200000005, -94.53487599999994 39.060302000000036, -94.53478199999995 39.06206600000007, -94.53363499999995 39.06202900000005, -94.53246799999994 39.06198600000005, -94.53132499999998 39.06194500000004, -94.53014099999996 39.06190200000003, -94.52929499999999 39.06187500000004, -94.52808399999998 39.061837000000025, -94.52605699999998 39.06177300000007, -94.52495299999998 39.061739000000046, -94.52479499999998 39.06173400000006, -94.52469899999994 39.06118300000003, -94.52454699999998 39.06066000000004, -94.52432599999997 39.06015300000007, -94.52403599999997 39.05966200000006, -94.52376699999996 39.05931300000003, -94.52354399999996 39.05906100000004, -94.52307899999994 39.058610000000044, -94.52272499999998 39.05824700000005, -94.52180999999996 39.057308000000035, -94.52151399999997 39.05693100000008, -94.52122899999995 39.05648300000007, -94.52110699999997 39.05625200000003, -94.52082799999994 39.05563300000006, -94.52074399999998 39.05536300000006, -94.52066399999995 39.05492300000003, -94.52065499999998 39.05435300000005, -94.52081499999997 39.05436000000003, -94.52124699999996 39.05443400000007, -94.52160099999998 39.05443400000007, -94.52191699999997 39.05445800000007, -94.52219499999995 39.05450700000006, -94.52244999999994 39.054572000000064, -94.52274499999999 39.05467300000004, -94.52301799999998 39.05479200000008, -94.52329599999996 39.05495300000007, -94.52340299999997 39.05505500000004, -94.52437299999997 39.05507200000005, -94.52445699999998 39.055071000000055, -94.52447899999999 39.055071000000055)))",0,290950058011,<5 Sales,8,5,3,7039,0,1.46694969,0,0.02678571,0.01190476,0.625,0.0922619,0.17559524,3,2,8,0.17602996,0.59763314,1,2.02268935,0.16647194,0,0.1,7
"MULTIPOLYGON (((-94.54690499999998 39.05157900000006, -94.54700099999997 39.04977000000008, -94.54709199999996 39.047971000000075, -94.54828899999995 39.04801800000007, -94.54936499999997 39.04806000000008, -94.55050799999998 39.048103000000026, -94.55166399999996 39.04814700000003, -94.55282999999997 39.048196000000075, -94.55396699999994 39.048245000000065, -94.55387199999996 39.05003500000004, -94.55377699999997 39.051843000000076, -94.55368399999998 39.053638000000035, -94.55358999999999 39.05544500000008, -94.55244199999999 39.05540700000006, -94.55127799999997 39.05535800000007, -94.55014499999999 39.05531400000007, -94.54898699999995 39.05528300000003, -94.54789499999998 39.05525400000005, -94.54671099999996 39.05522200000007, -94.54680799999994 39.05339500000008, -94.54690499999998 39.05157900000006)))",0,290950061001,H,37,11,26,3918,10625,1.35656751,1.14154118,0.02284946,0,0.67567568,0.07930108,0.28225806,1,20,16,0.24332344,0.60571429,1,4.38753448,0.08198625,0.263157894736842,0.31578947368421,8
"MULTIPOLYGON (((-94.58531199999999 39.03926700000005, -94.58513599999998 39.038947000000064, -94.58488699999998 39.038455000000056, -94.58595599999995 39.03849500000007, -94.58712899999995 39.03852200000006, -94.58831899999996 39.03857900000003, -94.58942399999995 39.038631000000066, -94.58962799999995 39.03864900000008, -94.59031899999997 39.03874900000005, -94.59058599999997 39.03875300000004, -94.59116299999994 39.038676000000066, -94.59172599999994 39.038685000000044, -94.59171099999998 39.03898200000003, -94.59165699999994 39.03986100000003, -94.59122099999996 39.03994000000006, -94.59063299999997 39.040035000000046, -94.59014399999995 39.04006500000003, -94.58815599999997 39.040001000000075, -94.58704899999998 39.03995500000008, -94.58685299999996 39.03992500000004, -94.58672599999994 39.03989700000005, -94.58652499999994 39.03983600000004, -94.58642499999996 39.03979700000008, -94.58630399999998 39.039743000000044, -94.58623399999999 39.03970600000008, -94.58531199999999 39.03926700000005)))",0,290950073003,B,24,0,24,293750,293750,0.50901891,0.50901891,1.57142857,0,0.04166667,0,0.14285714,0,0,0,0,0.34452555,0.02672606,102.84026825,0.00097324,0.666666666666667,0.333333333333333,9
"MULTIPOLYGON (((-94.54595499999994 39.06964500000004, -94.54602199999994 39.06964700000003, -94.54709899999995 39.06967400000008, -94.54822999999999 39.06971100000004, -94.54934399999996 39.06974800000006, -94.55054799999994 39.06978900000007, -94.55166999999994 39.06982700000003, -94.55284499999999 39.06986600000005, -94.55275099999994 39.07166500000005, -94.55269299999998 39.07275500000003, -94.55265399999996 39.07350300000007, -94.55263899999994 39.07380800000004, -94.55145499999998 39.07378200000005, -94.54916599999996 39.07366500000006, -94.54610199999996 39.07352400000008, -94.54344399999997 39.07341300000007, -94.54345499999994 39.073181000000034, -94.54349399999995 39.07236900000004, -94.54353999999995 39.071364000000074, -94.54362599999996 39.06955800000003, -94.54471799999999 39.06959400000005, -94.54595499999994 39.06964500000004)))",0,290950038002,G,12,2,10,29721,34937.5,0.8458226,0.68968653,0.0398773,0,0.25,0.09509202,0.24233129,0,7,7,0.21678322,0.368,0.58227848,6.96854069,0.26706918,0.083333333333333,0.583333333333333,43
